year_built,stories,num_bedrooms,full_bathrooms,half_bathrooms,livable_sqft,total_sqft,garage_type,garage_sqft,carport_sqft,has_fireplace,has_pool,has_central_heating,has_central_cooling,house_number,street_name,unit_number,city,zip_code,sale_price
1988,2,2,3,0,1812,1813,attached,422,0,True,False,True,True,9963,Parker Walk,,Lewishaven,11071,396900.0
1988,1,2,2,0,1388,1396,attached,410,0,True,False,True,True,48734,Parker Walk,,Lewishaven,11071,387452.0
1984,1,1,1,1,1344,1354,attached,422,0,True,False,True,True,5969,Parker Walk,,Lewishaven,11071,263969.0
1984,1,2,2,0,1395,1396,attached,417,0,True,False,True,True,4499,Parker Walk,,Lewishaven,11071,321296.0
1983,2,2,3,0,1808,1811,attached,422,0,True,False,True,True,44132,Parker Walk,,Lewishaven,11071,378004.0
1983,2,2,3,0,1803,1814,attached,419,0,True,False,True,True,5731,Parker Walk,,Lewishaven,11071,308698.0
1985,1,1,1,1,1347,1349,attached,418,0,True,False,True,True,2537,Parker Walk,,Lewishaven,11071,216721.0
1982,1,2,2,0,1438,1434,attached,398,0,False,False,True,True,993,Travis Springs,,Lewishaven,11071,220501.0
1980,1,3,1,1,1179,1253,attached,440,0,True,False,True,True,2824,Gonzalez Roads,,Lewishaven,11071,264599.0
1972,1,2,1,1,1027,1426,detached,423,0,False,False,True,True,98272,Prince Throughway,,Lewishaven,11980,248847.0
1973,1,3,1,1,1277,1808,detached,424,0,False,False,True,True,4083,Watkins Trafficway,,Lewishaven,11980,301139.0
1965,1,3,1,1,1401,1464,detached,439,0,True,True,True,True,875,Roberts Fork,,Lewishaven,11980,472502.0
1956,1,3,2,0,1643,1854,none,0,210,True,True,True,True,529,Wright Path,,Lewishaven,11980,400679.0
1964,1,2,1,1,1050,1373,attached,396,0,False,True,True,True,436,Heather Meadow,,Lewishaven,11980,419582.0
1974,1,2,1,1,1115,1402,none,0,0,False,False,True,True,31014,Tyler Drives,,Lewishaven,11980,308699.0
1975,2,3,1,1,1173,1545,none,0,0,False,False,True,True,88203,Tyler Drives,,Lewishaven,11980,277204.0
1963,1,2,1,1,1427,1825,none,0,0,False,False,True,True,8736,Miller Wall,3539.0,Lewishaven,11980,260818.0
1960,1,3,1,1,2823,2871,attached,400,0,True,True,True,True,27379,Davis Curve,,Lewishaven,11980,572037.0
1959,1,3,2,1,1756,2123,attached,692,0,True,True,True,True,362,Jones Crescent,,Lewishaven,11980,976501.0
1989,2,5,4,1,5473,7190,attached,1089,0,True,True,True,True,6245,Mcconnell Land,,Lewishaven,11980,1469789.0
2008,2,4,4,1,6257,6933,attached,1231,0,True,True,True,True,7882,Jacob Cape,,Lewishaven,11980,1965602.0
1949,1,2,0,1,1146,1302,none,0,361,True,False,False,False,805,Elizabeth Junction,,Lewishaven,11980,573301.0
2011,2,3,2,0,4862,5065,attached,2082,0,True,True,True,True,49383,Jeffery Union,,Lewishaven,11980,1260002.0
1978,1,2,1,1,1345,2148,attached,402,0,True,False,True,True,206,Kristen Mews,,Lewishaven,11980,250738.0
1980,1,2,2,1,2005,2061,attached,674,0,True,False,True,True,164,Tammy Mountain,,Lewishaven,11980,515337.0
1972,2,2,1,0,837,841,none,0,227,False,False,True,True,1664,Jennifer Canyon,3410.0,Lewishaven,11980,108987.0
1971,2,2,1,0,842,838,none,0,228,False,False,True,True,240,Wayne Forest,3410.0,Lewishaven,11980,136082.0
1983,1,3,3,1,2625,2880,attached,539,0,True,True,True,True,77574,Ramsey Oval,,Lewishaven,11980,752851.0
1978,2,2,2,0,1253,1524,none,0,0,False,False,True,True,53253,Maria Ridge,,Lewishaven,11980,238770.0
1986,1,5,5,0,5685,5916,attached,1841,0,True,True,True,True,762,Martin Prairie,,Lewishaven,11980,945004.0
1967,1,1,1,0,438,438,none,0,0,False,False,True,True,47295,Jessica Mountains,,Lewishaven,11980,145529.0
1957,1,3,2,1,2116,2977,none,0,0,True,True,True,True,948,Angela Harbor,,Lewishaven,11980,532353.0
1978,1,3,1,1,1703,2122,attached,529,0,True,True,True,True,22781,Charles Groves,,Lewishaven,11980,352797.0
1988,1,6,3,1,2452,2457,attached,753,0,False,True,True,True,261,Jessica Mills,,Lewishaven,11980,465567.0
1965,1,6,3,0,3025,3029,none,0,0,False,False,True,True,52948,Jessica Mills,,Lewishaven,11980,498957.0
1980,1,3,2,0,1756,2008,detached,490,0,True,True,True,True,669,Weaver Shoal,,Lewishaven,11980,251374.0
2004,1,3,2,1,2630,2888,attached,632,0,True,True,True,True,5990,Webb Terrace,,Lewishaven,11071,623704.0
2004,1,4,3,0,2395,2727,attached,595,0,True,False,True,True,52406,Nicole Shores,,Lewishaven,11071,492026.0
2006,1,5,4,0,3439,3733,attached,458,0,True,True,True,True,2212,White Squares,,Lewishaven,11071,711901.0
1990,1,2,2,1,1808,1990,attached,463,0,True,False,True,True,50793,Rogers Well,,Lewishaven,11071,317519.0
1989,1,2,2,1,1815,1996,attached,466,0,True,False,True,True,2342,Dudley Spur,,Lewishaven,11071,314999.0
1989,1,2,2,0,1326,1543,attached,465,0,True,False,True,True,587,Jaclyn Ville,,Lewishaven,11071,265862.0
1989,2,4,3,1,2798,2797,attached,559,0,True,True,True,True,91379,Erica Mount,,Lewishaven,11071,567003.0
1989,1,2,1,1,1621,1847,detached,399,0,True,False,True,True,813,Noah Overpass,,Lewishaven,11071,504000.0
1989,1,2,2,0,1601,1601,attached,442,0,True,False,True,True,234,Pamela Estate,,Lewishaven,11071,365401.0
1985,1,2,1,1,1548,1828,detached,402,0,False,False,True,True,56,Jeffrey Courts,,Lewishaven,11071,365402.0
1984,1,2,1,1,1650,1787,detached,421,0,True,False,True,True,408,Stout Turnpike,,Lewishaven,11071,459902.0
1984,1,2,1,1,1645,1788,detached,419,0,True,False,True,True,695,Stout Turnpike,,Lewishaven,11071,495180.0
1987,1,2,1,1,1631,1843,detached,402,0,True,False,True,True,68645,Steven Valley,,Lewishaven,11071,486990.0
1985,1,2,2,1,1915,2160,detached,398,0,True,False,True,True,88134,Jeremy Well,,Lewishaven,11071,602906.0
1986,1,2,1,1,1630,1848,detached,400,0,True,False,True,True,23,Jimenez Place,,Lewishaven,11071,352803.0
1973,1,2,2,0,1816,2058,attached,241,0,False,True,True,True,391,Jacqueline Valley,,Lewishaven,11071,327597.0
1987,1,2,1,1,1931,1995,attached,464,0,True,True,True,True,53424,Lisa Fords,,Lewishaven,11071,617398.0
1972,1,2,2,0,1813,2063,attached,240,0,False,True,True,True,73185,Jacqueline Valley,,Lewishaven,11071,327596.0
1971,1,2,2,0,1810,2056,attached,243,0,False,True,True,True,3893,Jacqueline Valley,,Lewishaven,11071,384299.0
1990,1,2,2,0,1336,1550,attached,462,0,True,False,True,True,2065,Edwards Knoll,,Lewishaven,11071,277199.0
1991,1,2,2,0,1332,1545,attached,460,0,True,False,True,True,26132,Edwards Knoll,,Lewishaven,11071,257037.0
1961,1,2,1,1,1371,1789,attached,232,0,False,True,True,True,4449,Little Bypass,,Lewishaven,11071,308699.0
1991,1,4,4,1,5484,6291,attached,906,0,True,True,True,True,55480,Jeffery Lakes,,Richardport,11619,2551502.0
1981,1,3,1,1,1544,1801,attached,439,0,True,False,True,True,505,Robert Loaf,,Lewishaven,11980,365396.0
1980,1,2,1,1,1344,1629,attached,470,0,True,False,True,True,40419,Ferguson Views,,Lewishaven,11980,415802.0
1963,1,2,2,0,976,1109,none,0,0,False,False,True,True,1888,Horn Shoals,212.0,Lewishaven,11980,195297.0
1978,1,2,1,1,1142,1375,detached,485,0,False,False,True,True,4546,Lindsey Gardens,,Lewishaven,11980,214198.0
1981,1,2,2,1,2279,3022,attached,605,0,True,False,True,True,3944,Rhonda Summit,,Richardport,11619,417057.0
1965,1,3,2,0,1362,1815,detached,439,0,True,True,True,True,61620,Jessica Mountains,,Lewishaven,11980,454228.0
1971,1,3,1,1,1679,1996,attached,462,0,True,True,True,True,96655,Vang Springs,,Lewishaven,11980,527940.0
1975,1,2,2,1,2150,2497,attached,427,0,True,False,True,True,51324,Justin Spring,,Richardport,11619,598500.0
1962,1,3,1,1,1705,1890,attached,442,0,True,True,True,True,9198,Heather Landing,,Lewishaven,11980,491399.0
1980,1,3,2,0,1784,2201,attached,506,0,True,True,True,True,874,Wright Estates,,Lewishaven,11980,554398.0
1965,1,3,2,0,1903,2063,attached,458,0,True,True,True,True,96655,Myers Place,,Lewishaven,11980,519117.0
1957,1,3,2,1,1330,1638,none,0,199,True,True,True,True,55665,Christopher Point,,Lewishaven,11980,361623.0
1958,1,4,1,1,2035,3000,none,0,0,True,False,True,True,89940,Jones Loop,,Lewishaven,11980,296103.0
2006,2,4,3,0,1671,1879,attached,444,0,False,False,True,True,237,Matthew Rue,,Lewishaven,11980,289802.0
2007,2,3,2,1,1637,1918,attached,442,0,False,False,True,True,3880,Sarah Road,,Lewishaven,11980,277199.0
2001,1,3,2,1,2497,2726,attached,440,0,True,True,True,True,9120,Matthew Avenue,,Lewishaven,11980,612356.0
2004,1,4,3,1,3327,3321,attached,674,0,True,False,True,True,6811,Matthew Cape,,Lewishaven,11980,617402.0
1997,1,4,4,0,3344,3596,attached,418,0,True,True,True,True,9279,Davis Drives,,Lewishaven,11980,598504.0
1999,1,4,2,1,2789,2959,attached,657,0,True,True,True,True,92753,Gardner Oval,,Lewishaven,11980,522904.0
1999,1,5,3,0,2818,2972,attached,656,0,True,True,True,True,99114,Davis Drives,,Lewishaven,11980,630001.0
2001,1,4,2,1,2988,3428,attached,458,0,True,True,True,True,2163,Dustin Points,,Lewishaven,11980,535500.0
1980,1,3,1,1,1410,2085,attached,440,0,False,True,True,True,7764,Cynthia Greens,,Lewishaven,11980,296102.0
1960,1,2,1,1,1458,1710,none,0,0,False,False,True,True,6259,Molly Lodge,,Lewishaven,11980,270898.0
1984,1,2,1,1,1675,1679,none,0,597,False,False,True,True,3681,Patricia Ways,,Lewishaven,11980,220499.0
1978,1,3,2,0,1814,1814,attached,400,0,True,False,True,True,2029,Rebecca Extension,,Lewishaven,11980,209164.0
1979,1,2,2,0,1461,1666,none,0,612,False,False,True,True,61266,Shawn Circle,,Lewishaven,11980,226796.0
1983,1,2,2,0,1438,1434,attached,548,0,False,False,True,True,98,Michael Summit,,Lewishaven,11980,223023.0
1980,1,2,1,1,1155,1151,none,0,1107,False,False,True,True,9241,Tamara Rapid,,Lewishaven,11980,109618.0
1979,1,2,2,0,1794,1794,none,0,699,True,False,True,True,54633,Tamara Rapid,,Lewishaven,11980,226796.0
1986,1,2,2,0,1855,1863,none,0,1122,False,False,True,True,7363,Patricia Ways,,Lewishaven,11980,189000.0
1982,1,3,2,0,1855,2125,attached,521,0,True,False,True,True,38187,Trujillo Place,,Lewishaven,11980,314999.0
1981,1,2,2,0,1702,2033,attached,484,0,True,False,True,True,3284,Trujillo Place,,Lewishaven,11980,351540.0
1982,1,2,2,0,1568,1602,attached,457,0,True,False,True,True,56215,Montgomery Brook,,Lewishaven,11980,289802.0
2006,1,3,3,0,3184,3497,attached,713,0,True,True,True,True,207,Fields Street,,West Ann,10748,1001696.0
1980,1,3,2,1,2794,3663,attached,730,0,True,False,True,True,7553,Maria Union,,Richardport,11619,661504.0
1993,1,5,5,1,6051,6391,attached,1082,0,True,True,True,True,393,Jeffrey Neck,,Richardport,11619,2898003.0
2000,1,3,2,0,1562,1565,none,0,397,False,False,True,True,71626,Sandra Glen,1034.0,Lewishaven,11980,88197.0
2000,1,3,3,0,2241,2590,attached,621,0,True,True,True,True,137,Henson Groves,,Lewishaven,11980,535501.0
1999,1,4,3,1,2775,3480,attached,477,0,True,True,True,True,158,Luna Meadows,,Lewishaven,11980,655196.0
1996,1,4,2,1,2298,2359,attached,427,0,True,True,True,True,29108,Clark Locks,,Lewishaven,11980,495176.0
1998,1,3,1,1,1897,2389,attached,441,0,True,True,True,True,29704,Johnson Square,,Lewishaven,11980,464941.0
1991,1,3,1,1,2057,2055,attached,581,0,True,True,True,True,1583,Snyder Views,,Lewishaven,11980,485104.0
2002,1,3,2,1,2282,2641,attached,479,0,True,True,True,True,4920,Lisa Heights,,Lewishaven,11980,592202.0
1983,1,2,1,1,1736,1950,attached,480,0,True,False,True,True,60136,Brian Turnpike,,Lewishaven,11980,378000.0
1981,1,3,2,0,1982,2395,attached,483,0,True,False,True,True,3604,Christopher Corner,,Lewishaven,11980,444150.0
1984,1,3,2,1,2117,2261,attached,504,0,True,False,True,True,111,Cole Island,,Lewishaven,11980,566997.0
1981,1,2,1,1,961,1188,attached,424,0,False,False,True,True,65199,Houston Coves,2701.0,Lewishaven,11980,215456.0
1981,1,2,1,1,2052,2324,attached,465,0,True,False,True,True,427,Ibarra Locks,,Lewishaven,11980,510299.0
1980,1,3,1,1,1805,1999,attached,508,0,True,False,True,True,73604,Watson Flats,,Lewishaven,11980,333898.0
1979,1,3,2,0,1948,2373,attached,643,0,True,False,True,True,2212,Wilson Forge,,Lewishaven,11980,349019.0
1981,1,3,1,1,1582,1751,attached,544,0,True,False,True,True,259,Derrick Roads,,Lewishaven,11980,393119.0
1980,1,2,1,1,1299,1387,attached,442,0,False,False,True,True,5686,Ibarra Locks,,Lewishaven,11980,270900.0
1978,1,2,1,1,1590,1828,attached,544,0,True,False,True,True,199,Paul Squares,,Lewishaven,11980,516600.0
1980,1,2,2,0,1539,1930,attached,503,0,True,False,True,True,6076,Cole Island,,Lewishaven,11980,321298.0
1980,1,3,2,0,1953,2374,attached,481,0,True,False,True,True,1138,Cole Island,,Lewishaven,11980,405717.0
1979,1,2,1,1,1304,1384,attached,440,0,False,False,True,True,71883,Laurie Garden,,Lewishaven,11980,170102.0
1980,1,2,1,1,1308,1388,attached,444,0,False,False,True,True,71883,Laurie Garden,,Lewishaven,11980,229949.0
1978,1,2,1,1,1578,1753,attached,542,0,True,False,True,True,609,Laurie Garden,,Lewishaven,11980,371698.0
1978,1,2,2,1,2051,2244,attached,459,0,True,False,True,True,39472,Laurie Garden,,Lewishaven,11980,450452.0
1980,1,2,1,1,1578,1746,attached,543,0,True,False,True,True,5792,Wright Summit,,Lewishaven,11980,318151.0
1983,1,2,1,1,1141,1134,attached,416,0,True,False,True,True,9483,Elizabeth Burg,,Lewishaven,11980,226801.0
1984,1,3,1,1,1538,1709,attached,573,0,True,False,True,True,3045,Khan Tunnel,,Lewishaven,11980,327598.0
2004,1,1,1,0,961,1256,none,0,0,False,False,True,True,7395,Wright Pass,,Lewishaven,11980,225541.0
2004,1,2,2,0,1565,1808,none,0,0,False,False,True,True,1850,Wright Pass,,Lewishaven,11980,283500.0
2008,1,2,2,0,1963,2209,attached,539,0,True,False,True,True,9510,Brianna Path,,Lewishaven,11980,481319.0
2007,1,2,2,0,1871,2077,attached,522,0,True,False,True,True,7664,Ramirez Square,,Lewishaven,11980,472501.0
1996,1,3,2,0,1591,1589,attached,440,0,True,True,True,True,93932,Lisa Mews,,Lewishaven,11980,475019.0
1976,1,2,2,0,1436,1445,none,0,1103,True,False,True,True,41841,Clark Turnpike,,Lewishaven,11980,119697.0
1979,1,2,2,0,1437,1436,none,0,0,False,False,True,True,52225,Heather Rest,,Lewishaven,11980,103321.0
1978,1,2,2,0,1697,1696,detached,481,1040,False,False,True,True,9681,Ward Grove,,Lewishaven,11980,119704.0
1972,1,2,2,0,1441,1437,none,0,402,False,False,True,True,86385,Thomas Harbors,,Lewishaven,11980,100797.0
2007,2,3,2,1,1877,1929,attached,423,0,True,False,True,True,393,Robertson Haven,,Hallfort,11982,352797.0
2000,1,3,2,0,1934,1925,attached,397,0,False,False,True,True,9299,Colin Street,,Lewishaven,11980,100799.0
1977,1,2,2,0,1437,1444,none,0,1365,False,False,True,True,821,Colin Street,,Lewishaven,11980,157500.0
2011,2,6,3,0,3221,4013,attached,854,0,True,True,True,True,4238,Mitchell Mountains,,Hallfort,11982,477540.0
2006,2,4,2,1,2053,2142,attached,464,0,True,False,True,True,1406,Robertson Haven,,Hallfort,11982,315001.0
1980,1,2,2,0,1442,1441,none,0,1020,False,False,True,True,198,Herman Plaza,,Lewishaven,11980,126004.0
1979,1,2,2,0,1739,1744,none,0,542,False,False,True,True,673,Mcdonald Shores,,Lewishaven,11980,188996.0
1984,1,2,1,1,1248,1253,none,0,1146,False,False,True,True,27757,Martin Overpass,,Lewishaven,11980,175140.0
2009,1,3,2,0,1614,1619,attached,281,0,False,False,True,True,575,Gray Mall,,Lewishaven,11980,217980.0
1984,1,2,2,0,1439,1439,none,0,1022,False,False,True,True,8430,Reynolds Village,,Lewishaven,11980,120326.0
1973,1,2,2,0,1344,1348,none,0,0,False,False,True,True,642,Walters Loaf,,Lewishaven,11980,125999.0
1963,1,2,2,0,1159,1196,attached,364,0,False,True,True,True,5667,Becker Plains,,Lewishaven,11980,340199.0
1976,1,2,2,0,1347,1347,none,0,0,False,False,True,True,5126,Gerald Branch,,Lewishaven,11980,91978.0
1977,1,2,2,0,1344,1344,none,0,0,False,False,True,True,5126,Gerald Branch,,Lewishaven,11980,100798.0
1973,1,2,2,0,1442,1925,none,0,0,False,True,True,True,30774,Gray Mall,,Lewishaven,11980,113397.0
1979,1,3,2,0,1443,1434,none,0,699,False,False,True,True,13760,Santos Groves,,Lewishaven,11980,183329.0
2002,1,3,2,0,1569,1574,attached,360,0,False,True,True,True,1529,Rebecca Fords,,Lewishaven,11980,151202.0
2006,2,4,2,1,1912,2079,attached,487,0,False,False,True,True,6076,Jermaine Junction,,South Anthony,11353,302398.0
2016,1,3,4,0,4741,5454,attached,724,0,True,True,True,True,288,Antonio Canyon,,South Anthony,11353,1058401.0
2014,1,4,3,1,5201,6030,attached,728,0,True,True,True,True,666,Antonio Canyon,,South Anthony,11353,1335603.0
2008,2,4,5,0,4074,5079,attached,685,0,True,True,True,True,7107,Antonio Canyon,,South Anthony,11353,945004.0
2015,1,3,3,1,4016,4663,attached,744,0,True,True,True,True,674,Leonard Valley,,South Anthony,11353,1014298.0
2004,1,5,3,0,2679,2700,attached,450,0,True,False,True,True,86290,Glen Run,,South Anthony,11353,378001.0
2003,1,4,2,1,2066,2094,attached,469,0,True,False,True,True,71,Kevin Mount,,South Anthony,11353,189003.0
2000,1,0,1,0,805,802,detached,400,0,True,True,False,False,97865,Freeman Landing,1789.0,South Anthony,11353,439744.0
1989,1,4,2,0,1769,1767,attached,703,0,True,False,True,True,728,Crystal Land,,South Anthony,11353,229322.0
1983,1,2,2,0,1212,1213,attached,402,0,False,False,True,True,37060,Jessica Greens,3556.0,South Anthony,11353,40323.0
1979,1,3,2,0,1794,1796,detached,477,0,False,False,True,True,37060,Jessica Greens,1311.0,South Anthony,11353,85054.0
1984,1,2,2,0,1216,1422,attached,263,41,False,False,True,True,37060,Jessica Greens,3340.0,South Anthony,11353,122848.0
1964,1,4,1,1,1826,2527,attached,526,0,True,True,True,True,4660,Ochoa Junction,,South Anthony,11353,220503.0
1994,1,2,2,0,1347,1341,attached,396,0,True,False,True,True,94,Anderson Summit,,South Anthony,11353,81899.0
1986,1,2,2,0,1152,1149,detached,403,0,False,False,True,True,9181,Natasha Center,,South Anthony,11353,101430.0
1998,1,3,2,0,1395,1390,attached,424,0,False,False,True,True,84793,Harrell Meadows,,South Anthony,11353,151204.0
2002,1,2,1,1,1263,1431,detached,232,0,False,False,True,True,51,Sarah Inlet,1834.0,South Anthony,11353,147416.0
1982,1,2,1,1,1043,1086,none,0,0,True,False,True,True,51,Sarah Inlet,1823.0,South Anthony,11353,91983.0
1983,1,2,1,1,1169,1198,none,0,0,True,False,True,True,51,Sarah Inlet,2553.0,South Anthony,11353,143642.0
1988,1,2,2,0,1461,1452,attached,404,0,False,False,True,True,5763,Krueger Glen,3790.0,South Anthony,11353,85680.0
1990,1,3,1,1,1274,1275,attached,442,0,True,False,True,True,5763,Krueger Glen,1015.0,South Anthony,11353,182697.0
1985,1,2,1,0,1049,1045,detached,288,406,False,False,True,True,5763,Krueger Glen,258.0,South Anthony,11353,113400.0
1983,1,2,2,0,1121,1529,detached,400,0,False,False,True,True,5763,Krueger Glen,1932.0,South Anthony,11353,151196.0
1990,1,2,1,1,903,904,attached,443,0,True,False,True,True,5763,Krueger Glen,,South Anthony,11353,95128.0
1985,1,2,2,0,1465,1464,none,0,1221,False,False,True,True,5221,Krueger Glen,1401.0,South Anthony,11353,50397.0
2014,1,3,3,0,1980,2172,attached,572,0,True,True,True,True,620,Perry Island,,South Anthony,11353,452342.0
2005,1,2,2,1,1814,1924,attached,706,0,True,False,True,True,420,Johnson Track,,South Anthony,11353,258296.0
2008,1,3,3,0,1685,1790,attached,564,0,True,False,True,True,87082,Chelsea Circles,,South Anthony,11353,273423.0
2000,1,3,1,1,1704,1709,attached,454,0,True,False,True,True,236,Gillespie Falls,,South Anthony,11353,292317.0
2003,1,4,2,1,1941,1951,attached,440,0,True,True,True,True,441,Marie Expressway,,South Anthony,11353,367924.0
2004,1,3,2,0,1524,1578,attached,445,0,True,False,True,True,321,Marie Expressway,,South Anthony,11353,289796.0
2015,1,2,1,1,1859,2205,attached,589,0,True,False,True,True,102,Joshua Mews,,South Anthony,11353,378002.0
2003,1,3,2,1,2180,2183,attached,1096,0,True,True,True,True,921,Gerald Land,,South Anthony,11353,403196.0
2004,1,3,1,1,1699,1707,attached,447,0,True,False,True,True,5224,Luis Lock,,South Anthony,11353,239398.0
2004,1,3,2,1,2017,2219,attached,619,0,True,True,True,True,77000,Jennifer Shore,,South Anthony,11353,440999.0
2007,1,3,2,0,1830,1871,attached,474,0,True,False,True,True,884,Mcintyre Tunnel,,South Anthony,11353,390601.0
2002,1,3,2,0,1301,1301,attached,654,0,True,False,True,True,7169,Jennifer Stream,,South Anthony,11353,270900.0
1982,1,2,2,0,1528,1785,attached,270,199,False,False,True,True,88,Robinson Canyon,,South Anthony,11353,226804.0
1981,1,1,2,0,985,1016,attached,230,227,False,False,True,True,620,John Terrace,,South Anthony,11353,169471.0
2015,1,3,2,0,2020,2133,attached,420,0,False,False,True,True,178,Carmen Pike,,South Anthony,11353,327601.0
1981,1,4,2,0,1514,1636,attached,562,0,False,True,True,True,480,Christine Extensions,,South Anthony,11353,409504.0
1979,2,2,1,1,1021,1021,none,0,0,False,False,True,True,4984,Jessica Greens,1026.0,South Anthony,11353,119073.0
1981,1,3,1,1,1769,1920,attached,550,0,True,False,True,True,978,Ballard Brook,,South Anthony,11353,277202.0
1979,1,1,1,0,615,619,none,0,0,False,False,True,True,37343,Brad Lodge,288.0,South Anthony,11353,100799.0
1979,1,3,1,1,1373,1555,attached,459,0,True,False,True,True,30721,Daniel Cape,,South Anthony,11353,200972.0
1981,1,3,1,1,1368,1560,attached,461,0,True,False,True,True,30721,Daniel Cape,,South Anthony,11353,258298.0
1985,1,2,1,1,1113,1122,attached,471,0,False,False,True,True,4121,Ramsey Streets,,South Anthony,11353,226804.0
1981,1,2,1,1,1004,1399,attached,478,0,False,False,True,True,5677,Williams Crescent,,South Anthony,11353,182703.0
1969,1,4,1,1,1248,1333,attached,460,0,False,False,True,True,99503,Lawrence Valleys,,South Anthony,11353,223024.0
1976,1,3,1,1,1306,1626,detached,500,0,False,False,True,True,37528,Sanford Estate,,South Anthony,11353,226804.0
2008,2,5,2,1,2722,2806,attached,696,0,True,False,True,True,2616,Pamela Street,,Jenniferberg,11989,340199.0
2006,1,4,1,1,1747,1861,attached,437,0,True,False,True,True,277,Amy Dale,,Jenniferberg,11989,302401.0
2005,1,4,2,0,1792,1837,attached,422,0,True,False,True,True,792,Amy Dale,,Jenniferberg,11989,260823.0
2005,1,4,2,0,1950,2062,attached,620,0,True,False,True,True,1590,Ashley Crossroad,,Jenniferberg,11989,308704.0
2003,1,4,2,0,1546,1545,attached,423,0,True,False,True,True,64638,Johnson Route,,South Anthony,11353,283502.0
2005,1,4,2,0,1545,2065,attached,424,0,True,False,True,True,15912,Gill Run,,South Anthony,11353,270901.0
2005,2,5,2,1,2157,2263,attached,513,0,True,True,True,True,17574,Alvarez Junction,,Jenniferberg,11989,296104.0
2003,1,4,2,0,1549,2049,attached,418,0,True,False,True,True,2523,Howard Creek,,South Anthony,11353,291063.0
2004,1,4,2,0,1552,1541,attached,418,0,True,True,True,True,5634,Zimmerman Common,,South Anthony,11353,327602.0
2003,1,4,2,1,2524,2522,attached,625,0,True,False,True,True,368,Travis Springs,,South Anthony,11353,330122.0
2003,1,4,3,0,2131,2431,attached,438,0,True,True,True,True,3879,Tracy Forest,,South Anthony,11353,343348.0
2002,1,3,2,0,1507,1539,attached,403,0,True,False,True,True,34834,Garza Trail,,South Anthony,11353,264597.0
2005,1,4,2,0,2029,2029,attached,430,0,False,False,True,True,6590,Peterson Bypass,,Jenniferberg,11989,283497.0
1972,1,3,1,1,1116,1172,none,0,260,False,False,True,True,8605,Smith Harbors,,South Anthony,11353,178916.0
2005,1,4,2,0,2030,2031,attached,433,0,False,False,True,True,6726,Hayley Corner,,Jenniferberg,11989,294844.0
1970,1,3,1,1,1124,1150,none,0,255,False,False,False,False,684,Jeffery Union,,South Anthony,11353,144900.0
1949,1,2,2,0,1217,1227,none,0,0,False,False,False,False,733,Regina Springs,,South Anthony,11353,100798.0
1977,1,2,2,0,1441,1666,none,0,933,False,False,True,True,63252,Anthony Grove,,Lewishaven,11980,125996.0
1952,1,3,1,0,1060,1115,detached,359,0,False,False,True,True,766,Burgess Hill,,South Anthony,11353,110251.0
2004,1,3,1,1,1696,1778,attached,521,0,True,False,True,True,9447,Troy Brook,,South Anthony,11353,308703.0
1989,2,4,2,1,2118,2108,attached,459,0,True,False,True,True,8979,Steven Valley,,South Anthony,11353,226799.0
1958,1,3,2,0,936,1082,attached,311,0,False,False,True,True,18453,Curtis Viaduct,,South Anthony,11353,113403.0
1959,1,3,1,1,1206,1612,none,0,0,False,False,True,True,11667,Laura Course,,South Anthony,11353,188999.0
2002,1,4,2,1,2741,3064,attached,710,0,True,False,True,True,72730,Jeremy Ridges,,West Ann,10748,475654.0
2003,1,3,3,1,2235,2598,attached,589,0,True,False,True,True,527,Patrick Row,,South Anthony,10984,524157.0
2001,2,3,2,0,2995,3020,attached,654,0,True,True,True,True,4544,Gonzalez Center,,West Ann,10748,646379.0
1998,1,3,2,0,2020,2081,attached,622,0,True,True,True,True,33896,Bernard Islands,,West Ann,10748,428401.0
1994,1,3,3,1,3642,4251,attached,830,0,True,True,True,True,46189,Paula Mill,,South Anthony,10984,856797.0
1991,1,3,2,0,2086,2085,attached,501,0,True,True,True,True,64346,Billy Stream,,West Ann,10748,453600.0
1975,2,2,2,1,2603,3194,none,0,0,False,False,True,True,38757,Coleman Curve,,South Anthony,10984,302399.0
2001,1,4,3,0,4162,4921,attached,918,0,True,True,True,True,716,Jonathan Stream,,South Anthony,10984,882000.0
1961,1,2,1,1,1232,1696,none,0,176,True,False,True,True,711,Sloan Brooks,1932.0,South Anthony,10984,188999.0
2007,1,4,2,1,2570,2822,attached,682,0,True,True,True,True,304,Lester Highway,,South Anthony,10984,541804.0
1978,1,3,1,1,2603,3238,attached,593,0,True,True,True,True,58830,Laura Light,,South Anthony,10984,630001.0
2005,1,4,4,0,3745,4043,attached,1125,0,True,True,True,True,7432,Laura Light,,South Anthony,10984,894599.0
2005,1,4,2,1,2354,2657,attached,437,0,True,False,True,True,64541,Thomas Wall,,South Anthony,11353,340202.0
2006,1,4,2,1,2345,2649,attached,437,0,True,False,True,True,616,Thomas Wall,,South Anthony,11353,279720.0
2005,2,4,2,1,1851,2016,attached,483,0,True,False,True,True,4243,Christine Meadows,,South Anthony,11353,217984.0
1993,1,4,1,1,1501,1495,attached,458,0,False,False,True,True,85108,Daniels Burg,,South Anthony,11353,270901.0
1990,1,3,2,0,1863,1859,attached,465,0,True,False,True,True,125,Knight Hills,,South Anthony,11353,296104.0
